ct,n_organs,n_pairs,obs_mean,null_mean,null_std,p_value,q_value
"cd4-positive, alpha-beta t cell",2,1,16.71048331805287,6.516291053045914,0.5824827286994239,0.000999000999000999,1.1322e-03
"cd8-positive, alpha-beta t cell",4,6,9.934637737517894,6.031500545674513,0.48516227687836766,0.000999000999000999,1.1322e-03
classical monocyte,2,1,17.50473616015987,6.594521536981576,0.8755803516354191,0.000999000999000999,1.1322e-03
endothelial cell,3,3,26.246377966754647,7.17459991512982,1.028814060176372,0.000999000999000999,1.1322e-03
hematopoietic stem cell,2,1,11.121931829419841,6.689572103096047,1.4397222295904535,0.000999000999000999,1.1322e-03
erythrocyte,3,3,29.359679224257842,8.472195633275126,0.9603921800249028,0.000999000999000999,1.1322e-03
macrophage,6,15,15.492895244082364,6.958509146624703,0.6132329850816326,0.000999000999000999,1.1322e-03
intermediate monocyte,2,1,21.781299252589477,6.752701294236822,0.8254824029862536,0.000999000999000999,1.1322e-03
naive b cell,2,1,21.062589651574168,6.434172805339646,0.738463136058072,0.000999000999000999,1.1322e-03
neutrophil,4,6,14.215749426598018,9.823191870819754,0.6540842540062015,0.000999000999000999,1.1322e-03
memory b cell,2,1,22.361170863569043,6.567597307527826,1.0237686716747512,0.000999000999000999,1.1322e-03
monocyte,2,1,15.192958511749932,6.570147262430589,0.9062991076802799,0.000999000999000999,1.1322e-03
nk cell,5,10,17.28052275623328,6.576054805229782,0.336153029010061,0.000999000999000999,1.1322e-03
plasma cell,4,6,10.201852644396025,6.304324552685566,1.0626556865079337,0.000999000999000999,1.1322e-03
smooth muscle cell,2,1,12.220701350323528,6.451707355955591,1.3043670270222147,0.000999000999000999,1.1322e-03
b cell,2,1,9.361019298679116,6.291988874598421,0.8035069262568514,0.001998001998001998,2.1229e-03
hepatocyte,2,1,8.570095581771694,7.504375644156046,2.335992157831699,0.3966033966033966,3.9660e-01
